,0
0,-543.4273681640625
1,-408.410888671875
2,-362.36834716796875
3,-349.2955017089844
4,-289.5925598144531
5,-287.8962097167969
6,-203.7061767578125
7,-244.97897338867188
8,-253.03465270996094
9,-294.8096923828125
10,-227.5456085205078
11,-248.7073974609375
12,-236.74713134765625
13,-263.3208923339844
14,-259.71832275390625
15,-268.0589294433594
16,-213.14730834960938
17,-252.0740966796875
18,-256.548583984375
19,-239.7711181640625
20,-130.8103485107422
21,-214.37461853027344
22,-245.11578369140625
23,-225.84506225585938
24,-208.7977752685547
25,-235.52804565429688
26,-147.39059448242188
27,-111.8954086303711
28,-33.886260986328125
29,-202.61630249023438
30,0.0
