,0
0,-543.4629516601562
1,-540.02197265625
2,-530.0608520507812
3,-502.9332275390625
4,-443.7841491699219
5,-303.29473876953125
6,-209.12579345703125
7,-217.15159606933594
8,-217.09815979003906
9,-179.91920471191406
10,-158.97506713867188
11,-160.91543579101562
12,-150.97772216796875
13,-129.0218505859375
14,-133.15054321289062
15,-93.86363983154297
16,-58.031856536865234
17,-73.28936004638672
18,-67.8438720703125
19,-84.95367431640625
20,-40.42218017578125
21,-54.905906677246094
22,-60.329132080078125
23,-40.737571716308594
24,-32.73180389404297
25,-36.7080078125
26,-45.281002044677734
27,-29.954505920410156
28,-31.160629272460938
29,-25.063819885253906
30,0.0
