,0
0,-0.11015573143959045
1,4.01914644241333
2,14.730195999145508
3,35.2540283203125
4,82.09799194335938
5,156.69960021972656
6,132.4326171875
7,466.4599609375
8,747.2078857421875
9,1492.847900390625
10,2962.399169921875
11,5154.3466796875
12,8981.865234375
13,13456.7353515625
14,20000.703125
15,32288.515625
16,43521.26953125
17,63643.26171875
18,86186.875
19,55493.5859375
20,151396.40625
21,181937.0
22,231531.28125
23,306267.59375
24,372589.875
25,462475.5
26,480954.6875
27,621081.6875
28,768031.5625
29,936366.9375
30,0.0
