,0
0,-0.10508514940738678
1,3.4478414058685303
2,14.021430969238281
3,39.91326904296875
4,104.67800903320312
5,285.214111328125
6,552.4376831054688
7,1135.7373046875
8,2268.3203125
9,3701.933837890625
10,6239.103515625
11,11128.9560546875
12,16773.568359375
13,23385.830078125
14,34514.74609375
15,50316.2421875
16,68942.6015625
17,90366.171875
18,112934.109375
19,149310.03125
20,177543.65625
21,256271.1875
22,325506.78125
23,389109.0
24,463845.6875
25,620114.25
26,780783.125
27,734267.0625
28,1012310.5625
29,1197499.25
30,0.0
