,0,1
0,2.0812285583815537e-07,
1,-12.601799011230469,
2,-19.173131942749023,
3,-20.31882095336914,
4,-26.93850326538086,
5,-25.089590072631836,
6,-25.52804946899414,
7,-37.38512420654297,
8,-34.41669845581055,
9,-33.49703598022461,
10,-30.72707748413086,
11,-31.33718490600586,
12,-36.51103973388672,
13,-30.9072322845459,
14,-35.18525695800781,
15,-29.068740844726562,
16,-31.805377960205078,
17,-24.695899963378906,
18,-22.846317291259766,
19,-29.460298538208008,
20,-10.942035675048828,
21,-27.186851501464844,
22,-31.978050231933594,
23,-21.688514709472656,
24,-8.904897689819336,
25,-28.753095626831055,
26,-16.196184158325195,
27,-39.668212890625,
28,-17.2440242767334,
29,-10.157526016235352,
30,0.0,0.0
