,0,1
0,4.749227002776024e-07,
1,-11.070594787597656,
2,-19.989521026611328,
3,-24.672256469726562,
4,-34.35649108886719,
5,-28.359493255615234,
6,-23.889122009277344,
7,-36.623321533203125,
8,-30.20260238647461,
9,-23.784934997558594,
10,-33.17094802856445,
11,-22.138320922851562,
12,-25.52777099609375,
13,-22.317169189453125,
14,-37.392295837402344,
15,-41.94549560546875,
16,-25.444175720214844,
17,-22.274721145629883,
18,-33.89015197753906,
19,-19.737361907958984,
20,-16.277523040771484,
21,-25.727893829345703,
22,-35.34468078613281,
23,-34.69668960571289,
24,-23.397064208984375,
25,-18.019994735717773,
26,-28.51043701171875,
27,-22.517168045043945,
28,-22.835323333740234,
29,-12.770252227783203,
30,0.0,0.0
