,0
0,2.000658469114569e-06
1,226.9114990234375
2,456.9640808105469
3,669.7400512695312
4,902.6688232421875
5,1133.0255126953125
6,1360.2703857421875
7,1568.1505126953125
8,1793.38134765625
9,2073.48193359375
10,2262.2744140625
11,2470.7392578125
12,2751.02099609375
13,2872.18603515625
14,3225.671630859375
15,3360.92431640625
16,3630.7333984375
17,3845.3515625
18,4127.25244140625
19,4232.4423828125
20,4510.47705078125
21,4823.23583984375
22,4919.4716796875
23,5277.0751953125
24,5402.48095703125
25,5782.7763671875
26,5937.8583984375
27,6087.18505859375
28,6221.5849609375
29,6492.86083984375
30,0.0
