,0
0,-543.413330078125
1,-539.3558349609375
2,-529.8463134765625
3,-507.6554870605469
4,-468.8435974121094
5,-409.2956237792969
6,-399.2642517089844
7,-244.68829345703125
8,-167.65853881835938
9,-177.9480438232422
10,-149.29750061035156
11,-110.1126937866211
12,-83.08042907714844
13,-53.39274597167969
14,-45.805091857910156
15,-48.38677978515625
16,-41.46741485595703
17,-27.6689453125
18,-34.328460693359375
19,-20.863571166992188
20,-19.26142120361328
21,-24.07048797607422
22,-17.859970092773438
23,-13.750152587890625
24,-16.962432861328125
25,-21.0560302734375
26,-11.255844116210938
27,-10.095611572265625
28,-12.710350036621094
29,-11.102226257324219
30,0.0
