,0
0,-543.4273681640625
1,-436.9856872558594
2,-385.520263671875
3,-323.1225280761719
4,-225.07081604003906
5,-281.41107177734375
6,-322.229248046875
7,-272.4256286621094
8,-322.3141784667969
9,-285.74237060546875
10,-271.0777282714844
11,-272.0534973144531
12,-293.08404541015625
13,-281.2217102050781
14,-244.3278045654297
15,-243.9783172607422
16,-286.326904296875
17,-179.2422332763672
18,-249.59524536132812
19,-298.32989501953125
20,-247.90408325195312
21,-287.1919860839844
22,-192.857666015625
23,-258.01708984375
24,-181.73153686523438
25,-276.11236572265625
26,-253.47705078125
27,-243.0599822998047
28,-33.26314163208008
29,-200.3108673095703
30,0.0
