,0
0,261.00089502334595
1,261.2089343070984
2,260.519207239151
3,260.1927011013031
4,260.1004636287689
5,259.9752209186554
6,260.06843280792236
7,260.00837445259094
8,259.94768929481506
9,260.053768157959
10,260.0288999080658
11,259.94223856925964
12,260.012277841568
13,259.98812198638916
14,260.00191593170166
15,260.95612239837646
16,260.0019021034241
17,260.05536580085754
18,259.65893363952637
19,259.2572994232178
20,259.7193512916565
21,260.04543352127075
22,259.9344074726105
23,260.0008246898651
24,259.94171619415283
25,260.0365114212036
26,260.0356185436249
27,259.707971572876
28,259.59046053886414
29,261.0426995754242
30,260.03022050857544
31,260.1547260284424
32,260.1008450984955
33,259.99307131767273
34,259.9942088127136
35,259.8811149597168
36,260.0474121570587
37,260.0065438747406
38,259.91542172431946
39,259.9587264060974
40,0.0
