,0
0,-0.07869594544172287
1,1.9554173946380615
2,5.417804718017578
3,10.879406929016113
4,19.397979736328125
5,31.61028289794922
6,49.53559875488281
7,69.3263168334961
8,90.01963806152344
9,116.12382507324219
10,187.5035400390625
11,298.3582763671875
12,520.0247192382812
13,893.31396484375
14,1329.87451171875
15,2032.9705810546875
16,2866.569580078125
17,4347.82080078125
18,6722.91015625
19,8852.91015625
20,12319.388671875
21,16237.1640625
22,22228.203125
23,30868.33203125
24,39935.75
25,50496.50390625
26,65003.22265625
27,75818.1015625
28,98773.3046875
29,119652.1484375
30,145565.421875
31,185164.96875
32,183715.46875
33,263387.21875
34,301452.78125
35,354530.65625
36,422414.75
37,407078.9375
38,540354.75
39,592759.0
40,0.0
