,0
0,132.88730478286743
1,132.8451054096222
2,132.99481415748596
3,132.0221450328827
4,131.9539339542389
5,131.9556975364685
6,132.0438129901886
7,131.9297354221344
8,131.75992250442505
9,131.7847740650177
10,131.71234965324402
11,131.88008284568787
12,132.02995491027832
13,132.2282154560089
14,132.1093454360962
15,132.12760090827942
16,132.2672941684723
17,132.34501934051514
18,132.10147047042847
19,132.0868444442749
20,132.15591406822205
21,132.1967146396637
22,132.19751715660095
23,132.2098364830017
24,132.226646900177
25,132.25344443321228
26,132.26789045333862
27,132.26729011535645
28,132.2616901397705
29,132.22047472000122
30,132.28557753562927
31,132.27344489097595
32,132.25093817710876
33,132.2754180431366
34,132.2748463153839
35,132.24764728546143
36,132.24904108047485
37,132.28348350524902
38,132.1078736782074
39,132.05318307876587
40,0.0
