,0
0,-543.2516479492188
1,-489.5641784667969
2,-368.94085693359375
3,-230.4954833984375
4,-266.5981140136719
5,-220.36831665039062
6,-220.75730895996094
7,-212.5404052734375
8,-198.94961547851562
9,-200.47915649414062
10,-191.72592163085938
11,-205.6002655029297
12,-201.05392456054688
13,-197.66653442382812
14,-193.1745147705078
15,-187.94654846191406
16,-197.087890625
17,-196.928466796875
18,-189.9621124267578
19,-188.92498779296875
20,-189.0340576171875
21,-180.548583984375
22,-177.837158203125
23,-170.55950927734375
24,-175.65682983398438
25,-163.83285522460938
26,-152.2990264892578
27,-508.4829406738281
28,-122.28694152832031
29,-366.03656005859375
30,-271.96380615234375
31,-215.45272827148438
32,-134.7961883544922
33,-205.36109924316406
34,-205.53860473632812
35,-195.13131713867188
36,-129.10389709472656
37,-212.45460510253906
38,-213.91644287109375
39,-204.12725830078125
40,0.0
