,0
0,-0.10334955155849457
1,-1.7904143333435059
2,-3.997976303100586
3,-7.359617233276367
4,-12.295455932617188
5,-19.17171859741211
6,-28.148303985595703
7,-40.51549530029297
8,-56.18059539794922
9,-77.45204162597656
10,-103.40313720703125
11,-133.57696533203125
12,-169.870849609375
13,-220.1986541748047
14,-263.90032958984375
15,-319.6435546875
16,-402.4937744140625
17,-470.6486511230469
18,-563.0533447265625
19,-717.6228637695312
20,-935.247314453125
21,-1164.3658447265625
22,-1478.040771484375
23,-1826.84375
24,-2393.486328125
25,-3065.47802734375
26,-3824.82861328125
27,-3724.29345703125
28,-4879.33642578125
29,-6837.5869140625
30,-7927.4326171875
31,-9193.12109375
32,-11381.1240234375
33,-13370.6650390625
34,-17284.4296875
35,-16796.41015625
36,-24856.98046875
37,-27682.796875
38,-32621.833984375
39,-39086.9375
40,0.0
