,0
0,174.61876940727234
1,174.62235307693481
2,174.42237854003906
3,174.316504240036
4,173.88253235816956
5,173.88463592529297
6,173.9292402267456
7,173.92580246925354
8,173.87469244003296
9,173.845144033432
10,173.88733172416687
11,173.8878788948059
12,173.96504664421082
13,173.9202778339386
14,173.98215055465698
15,173.86183547973633
16,173.95891880989075
17,175.12785506248474
18,175.65756750106812
19,175.75709009170532
20,175.81713342666626
21,175.90354466438293
22,175.62549138069153
23,175.9621238708496
24,176.10039925575256
25,175.88371348381042
26,176.92198061943054
27,176.4397792816162
28,176.41232204437256
29,176.29693865776062
30,176.32677602767944
31,176.42196083068848
32,176.66520738601685
33,175.81271123886108
34,176.90646386146545
35,176.05836391448975
36,176.36203336715698
37,176.05402088165283
38,176.10770559310913
39,176.13529181480408
40,0.0
