,0
0,0.07575315237045288
1,0.7496662139892578
2,6.997408390045166
3,118.2884750366211
4,5715.93408203125
5,611483.25
6,693059136.0
7,347410857984.0
8,2395543779147776.0
9,1.6294954523426816e+16
10,1.8510994255580968e+20
11,2.723405057304455e+22
12,2.753176778181132e+22
13,1.2753850745241658e+21
14,1.4477499356876332e+21
15,5.906525798916864e+20
16,2.7969855435563784e+22
17,7.919827642710523e+20
18,1.7143252807967153e+20
19,2.293922684687486e+21
20,2.8654999305874726e+22
21,1.7840928999772416e+20
22,1.077026280736446e+21
23,1.1331666055788747e+21
24,1.4152622346131776e+21
25,1.9448012490364231e+21
26,1.8495081771460073e+21
27,1.8886295397340912e+21
28,1.3443824726152955e+21
29,3.241209689571108e+21
30,7.633099991090725e+19
31,1.2127501368066038e+21
32,7.804322978642421e+20
33,5.937373345302027e+20
34,6.577393962096483e+20
35,3.6026066711689875e+21
36,1.78485675269529e+20
37,3.863758028661227e+21
38,5.970357286760423e+20
39,2.9539393682699608e+22
40,0.0
