,0
0,0.8380491733551025
1,1.1324722436256707e-05
2,2.265666125822463e-07
3,9.253967903077864e-08
4,7.106933708200813e-08
5,5.653078360978725e-08
6,5.049830065217975e-08
7,8.83026558540223e-08
8,7.878873020672472e-08
9,7.094396181628326e-08
10,5.92456821379983e-08
11,5.807117986478261e-08
12,6.519616135847173e-08
13,9.16353144475579e-08
14,7.521185807490838e-08
15,9.653731325443005e-08
16,8.753548286222212e-08
17,8.574328091981442e-08
18,1.052424636327487e-07
19,5.776165323823079e-08
20,9.999202177368716e-08
21,8.056251488142152e-08
22,6.934549645620791e-08
23,8.368009218884254e-08
24,8.723195321636013e-08
25,1.1170926939030323e-07
26,9.025271197060647e-08
27,1.0505434744345621e-07
28,1.032212892937423e-07
29,8.96731151556196e-08
30,1.0749481305083464e-07
31,1.3717438207550003e-07
32,1.122846597922944e-07
33,1.2186561093585624e-07
34,1.3843929025370016e-07
35,1.4575425666407682e-07
36,1.4485834753941162e-07
37,1.796361175365746e-07
38,1.0003573436279112e-07
39,1.5334413205891906e-07
40,0.0
