,0
0,0.550471842288971
1,2.3116061687469482
2,6563812081664.0
3,159125225472.0
4,172580454400.0
5,18293514240.0
6,4977368498176.0
7,87971463168.0
8,392333524992.0
9,1674634461184.0
10,51390226432.0
11,6180373004288.0
12,13620224196608.0
13,1623921393664.0
14,1862423150592.0
15,3450350600192.0
16,21623535042560.0
17,113952194560.0
18,22826373120.0
19,110802214912.0
20,1401155092480.0
21,1754860486656.0
22,31310315520.0
23,3030201344.0
24,92239200256.0
25,174721581056.0
26,36957694459904.0
27,1057509888.0
28,4525480.0
29,3205760.5
30,103973096.0
31,743640320.0
32,24552103936.0
33,7728564011008.0
34,54574153728.0
35,680583823360.0
36,1473441169408.0
37,4589324075008.0
38,749217382400.0
39,7824872570880.0
40,0.0
