,0
0,-7.077426857904356e-07
1,-2.7530839443206787
2,-7.881256580352783
3,-14.665803909301758
4,-22.554136276245117
5,-12.784442901611328
6,-13.97506046295166
7,-20.906665802001953
8,-17.740741729736328
9,-29.818084716796875
10,-23.527862548828125
11,-33.18171310424805
12,-26.896072387695312
13,-31.37582015991211
14,-34.190765380859375
15,-37.198848724365234
16,-37.48545837402344
17,-45.21061706542969
18,-51.85113525390625
19,-41.20677185058594
20,-40.90224838256836
21,-26.037273406982422
22,-52.60508728027344
23,-56.26824188232422
24,-34.5565185546875
25,-47.45609664916992
26,-49.32954025268555
27,-45.736305236816406
28,-54.917869567871094
29,-44.59187698364258
30,-49.763301849365234
31,-66.9878158569336
32,-62.23619079589844
33,-64.50120544433594
34,-52.406455993652344
35,-39.37248992919922
36,-72.80972290039062
37,-55.69178009033203
38,-47.50999069213867
39,-74.3072738647461
40,0.0
