,0
0,9.981322364183143e-07
1,444.83685302734375
2,901.77685546875
3,1367.4580078125
4,1828.48095703125
5,2311.354248046875
6,2810.16748046875
7,3259.69287109375
8,3734.637451171875
9,4165.99609375
10,4655.25732421875
11,5109.03369140625
12,5589.935546875
13,5972.84228515625
14,6444.37109375
15,6991.75732421875
16,7366.666015625
17,7874.69189453125
18,8296.662109375
19,8840.982421875
20,9195.599609375
21,9767.9970703125
22,10021.876953125
23,10594.9951171875
24,11242.8251953125
25,11373.7265625
26,11925.2265625
27,12556.69921875
28,13004.7685546875
29,13539.3564453125
30,13714.0849609375
31,14251.794921875
32,14688.33203125
33,15396.6787109375
34,15626.2822265625
35,16151.376953125
36,16760.716796875
37,16864.51953125
38,17486.076171875
39,18360.87890625
40,0.0
