,0
0,-1.4348996728585917e-06
1,-454.64410400390625
2,-921.3931884765625
3,-1397.351806640625
4,-1870.02197265625
5,-2360.4521484375
6,-2865.5693359375
7,-3327.098876953125
8,-3812.39306640625
9,-4260.111328125
10,-4753.1181640625
11,-5219.9609375
12,-5708.9267578125
13,-6110.095703125
14,-6592.49658203125
15,-7135.1171875
16,-7532.6337890625
17,-8044.2744140625
18,-8479.7373046875
19,-9027.95703125
20,-9401.376953125
21,-9972.095703125
22,-10267.751953125
23,-10830.57421875
24,-11460.5419921875
25,-11649.5849609375
26,-12197.60546875
27,-12815.623046875
28,-13275.4453125
29,-13813.9453125
30,-14028.5693359375
31,-14573.216796875
32,-15026.009765625
33,-15706.880859375
34,-15969.40234375
35,-16498.32421875
36,-17099.80859375
37,-17262.45703125
38,-17872.791015625
39,-18703.1875
40,0.0
