,0
0,-543.3997192382812
1,-542.419677734375
2,-541.1176147460938
3,-539.3016357421875
4,-537.43408203125
5,-534.710205078125
6,-529.6669311523438
7,-522.4750366210938
8,-520.0802001953125
9,-501.5161437988281
10,-483.33270263671875
11,-485.4469909667969
12,-454.4327392578125
13,-430.6209716796875
14,-403.8265686035156
15,-384.11846923828125
16,-340.5100402832031
17,-327.05487060546875
18,-276.097900390625
19,-228.7942352294922
20,-219.23680114746094
21,-189.86280822753906
22,-202.4840087890625
23,-170.13137817382812
24,-142.0946502685547
25,-96.73892211914062
26,-78.92652130126953
27,-140.0306396484375
28,-95.74421691894531
29,-107.35940551757812
30,-75.73130798339844
31,-107.83712005615234
32,-99.3502197265625
33,-98.53233337402344
34,-117.02474975585938
35,-84.40554809570312
36,-72.19632720947266
37,-59.03343963623047
38,-61.26818084716797
39,-94.97158813476562
40,0.0
