,0
0,-543.4273681640625
1,-441.1213684082031
2,-389.7028503417969
3,-335.4417724609375
4,-326.36895751953125
5,-274.05072021484375
6,-277.13134765625
7,-249.74746704101562
8,-232.29759216308594
9,-218.6371307373047
10,-199.92507934570312
11,-191.17698669433594
12,-203.40721130371094
13,-167.1116485595703
14,-177.17897033691406
15,-187.07315063476562
16,-147.70506286621094
17,-147.24432373046875
18,-159.95455932617188
19,-182.2681884765625
20,-195.86343383789062
21,-182.98812866210938
22,-67.00675964355469
23,-141.92965698242188
24,-140.93116760253906
25,-188.3459014892578
26,-160.39048767089844
27,-106.80230712890625
28,-121.0911865234375
29,-208.39697265625
30,-179.4584197998047
31,-130.2219696044922
32,-202.5906219482422
33,-169.8798065185547
34,-117.91158294677734
35,-123.02710723876953
36,-142.70831298828125
37,-175.4133758544922
38,-147.4442138671875
39,-165.70294189453125
40,0.0
